topicIdx,short,key,usercode,created,long,version,mode,conf,wordNum,duration,randomImage_idx
13,Police encounter,4547347358941184,QNL9XO3M,2015-03-04T01:31:47,Description of an event involving murder and police,4,word,4,10,53,4
42,Hussein Govenment Crimes,4547689882583040,0S798TA9,2015-03-05T20:23:17,Hussein Government crimes against the muslims of Somalllllis included hanging and executions.,4,topic-in-a-box,3,10,108,4
0,Smoking,4548051733577728,47JIW0IX,2015-03-06T04:41:57,Smoking generates heat,4,histogram,1,5,23,1
26,Music,4548352649723904,53D6GU46,2015-03-05T15:25:09,This is a list of terms associated with music. ,4,word,5,10,24,5
23,Politician replacement.,4548559345025024,0Y4Z7X8M,2015-03-03T11:18:33,"A politicain died, we now have to decide who replaces him.",4,word,3,5,80,2
4,RELIGION,4550569389719552,XQIBBSZ8,2015-03-05T06:17:13,DIFFERENT TYPES OF RELIGION,4,topic-in-a-box,4,10,30,2
13,"Technology, Computers",4550620392456192,SB6MNGQQ,2015-03-04T18:59:15,In today's society there are many different types of technologies and companies that help us communicate. ,4,topic-in-a-box,4,20,51,2
0,Recipe,4551968743751680,5LWH9KQA,2015-03-05T16:56:01,How to prepare food.,4,word,4,5,32,2
48,Baseball Team,4553078724362240,EDVAT7UU,2015-03-03T07:00:02,The baseball team sign players to a contract.,4,wordcloud,5,5,19,2
34,Season,4553728875036672,Q6RDRZK6,2015-03-05T05:12:43,This talks about a new seasons and what changes it brings to the weather,4,histogram,3,5,38,5
37,politics,4554115690528768,WNHE9Q0K,2015-03-05T18:11:29,The words likely describe articles about politics and the representation of different political parties among the senate,4,histogram,3,10,76,3
30,false marketing,4555068904833024,QWJ5XOBI,2015-03-03T14:10:06,This looks like marketing when it goes wrong.,4,topic-in-a-box,4,10,51,3
46,Traffic,4555449009438720,YI474HCL,2015-03-06T07:16:40,Articles talking about a particular traffic situation. ,4,word,4,5,45,1
39,fuel,4555679595495424,PTDHRK3X,2015-03-05T20:17:39,A group of terms related to fuel and its impact on the environment,4,histogram,2,10,45,1
36,construction site,4556411082113024,1JCXMSYY,2015-03-05T15:47:42,I believe this is set to describe the construction process.,4,wordcloud,4,10,48,1
2,state government,4556933189074944,S2QB3R3E,2015-03-03T22:02:57,State's governement view on health care insurance.,4,topic-in-a-box,3,10,73,3
35,company's C.E.O.,4558806331686912,IVNWW8R7,2015-03-05T16:53:48,Name of a companies C.E.O.,4,histogram,3,5,194,4
47,Tax money,4558988062490624,LIYFX0HX,2015-03-06T00:28:00,Bill changes to use tax money,4,histogram,4,20,37,1
40,energy,4559844908466176,TXAORT0R,2015-03-03T03:10:31,Balancing energy needs and market with pollution concerns.,4,topic-in-a-box,3,20,539,4
37,Architecture,4560408891359232,E6GW3S1H,2015-03-05T17:14:01,The words represent architecture in New York.,4,topic-in-a-box,4,20,38,2
13,Police homicide,4561383312064512,U99F1O4Q,2015-03-05T15:22:29,A man was killed by police officers yesterday.,4,wordcloud,4,5,71,2
23,passing away,4561668122083328,TIB67OM7,2015-03-05T17:54:44,death of an employee,4,wordcloud,4,20,40,4
0,Smoking Fish,4563523547955200,HN5XHC42,2015-03-04T14:58:54,When smoking fish add oil to pan before putting it on the heat.,4,histogram,3,5,63,4
29,marketing,4563960292442112,H0HF95VI,2015-03-03T22:41:52,team marketing is key,4,word,3,5,10,2
28,war,4564119743102976,LEYNZ1CC,2015-03-04T04:37:27,how things are settled in times of disagreement with other countires ,4,word,3,10,37,5
5,local,4565153488044032,NXAPM4RC,2015-03-03T08:19:59,"Places to go in a given, occupied area.",4,wordcloud,3,20,54,3
21,Public Opinion,4565448767045632,KYVLF849,2015-03-05T19:00:27,The news is raising a question and it is an issue that has garnered a lot of reports recently.,4,histogram,2,10,44,5
24,Best Football Game,4566666927144960,6O8K20EG,2015-03-05T16:47:37,The bowl game was the best game of the year for the coach. ,4,word,5,5,38,2
3,going to church,4566960058662912,VTFRMW8H,2015-03-05T04:11:44,People of which faith go to church most.,4,histogram,2,5,68,1
49,China city,4568403167674368,R8WV5TQC,2015-03-05T16:45:07,Hong Kong is a big city in China and the main mode of transportation is train.,4,histogram,5,5,32,5
20,History book review,4569365777219584,YI8XD0OR,2015-03-05T15:48:06,You have to review a history book.,4,topic-in-a-box,4,5,35,5
38,baseball,4571408571039744,6QVA7WE2,2015-03-06T00:18:08,This is about a baseball game,4,histogram,2,20,64,2
17,Federal case,4572114019418112,Q6QIRG8B,2015-03-05T18:43:09,A case between two states went to federal court.,4,word,4,10,35,2
39,Energy supply,4572851680051200,QXT22H6W,2015-03-05T15:25:37,Energy supply solutions for the poor,4,histogram,5,5,30,5
38,Election,4573469618470912,8BI3KP4V,2015-03-05T20:46:39,A vote of the people to select a candidate for a political position.,4,word,5,10,67,3
40,Global Problems,4576150214934528,LPCF11IS,2015-03-05T21:49:25,These are global Necessities and their possible problems.,4,topic-in-a-box,3,20,47,4
37,presidential election,4577302876782592,64RW0M42,2015-03-05T18:19:30,democrats and republicans ready fro presidential election,4,wordcloud,3,10,48,4
14,healthcare,4580495648096256,J9XOZHHE,2015-03-03T02:49:01,These words have to do with health care industry.,4,word,4,10,20,5
10,Olympic Winter Games,4580711470202880,BI0R04SY,2015-03-05T20:25:41,Athletes from the United States participating in the winter Olympic games.,4,topic-in-a-box,3,10,46,2
9,money,4581597307207680,7SVW7JI0,2015-03-06T15:41:10,stock market concepts,4,topic-in-a-box,1,5,32,1
0,Healthcare,4582531731030016,T0OC8ISM,2015-03-03T07:22:32,Negative effects of certain foods and habits.,4,histogram,3,20,51,4
11,Security and Airports ,4582559916752896,4IY3MCF8,2015-03-06T14:52:31,"This is a article on air travel, and the international security, of all airports.",4,topic-in-a-box,5,5,100,2
17,Court Case,4582799361179648,6GLJACV6,2015-03-06T03:33:00,"Federal Judge passes a state law in court,",4,wordcloud,5,10,46,2
22,nuclear family,4582874254671872,NT5E0SLX,2015-03-05T17:26:35,a look at the deterioration of the nuclear family in past decades,4,wordcloud,3,5,51,1
42,Death,4583236105666560,XZQKZPM9,2015-03-05T20:32:51,A funeral for someone,4,histogram,5,10,11,4
35,Stocks,4583743717113856,52Y4FQBN,2015-03-03T06:37:41,The article is talking about investing in different things and how much it costs.,4,word,4,20,23,4
46,Areas of art,4584542044160000,U3SI0KCY,2015-03-04T14:13:05,On the main street is the Art museum and theater arts center.,4,histogram,3,10,68,2
13,police officers killed,4585753761808384,67ZE0XEK,2015-03-03T23:58:23,"Yesterday, at least two police officers were killed by a man.",4,word,4,5,78,3
45,New car designs,4585804764545024,BLOO3H6B,2015-03-03T22:09:41,Ford and Toyota are coming out with new vehicle an dmotor designs. ,4,word,3,10,79,5
6,Iraq war,4587153115840512,80YFMIS0,2015-03-05T15:40:42,President Bush authorized the war in Iraq.,4,wordcloud,5,20,42,3
19,biography,4587454568857600,FG3174NE,2015-03-04T04:24:33,stories of people's lives,4,word,4,5,66,4
36,New York buildings,4587771591131136,ZX8X6WLX,2015-03-06T01:33:15,New buildings/parks/public spaces are being created in New York state.,4,histogram,4,20,54,5
8,Finances ,4588028215427072,AOZ8CI4S,2015-03-04T18:47:07,"There are many different aspects to finances that can affect percentages, prices, sales, growth rates etc. in businesses. ",4,word,3,20,39,4
25,Education System,4588652596297728,R6G55YKI,2015-03-06T03:58:13,The hierarchy of learning has many different paths.,4,word,3,10,86,4
30,How stores use advertising.,4589300062617600,V0HKVJ5K,2015-03-05T16:51:21,An article about how stores advertise.,4,topic-in-a-box,3,5,17,4
14,New Medical Research,4589902163345408,HN5XHC42,2015-03-04T14:58:54,Their is a new health drug on the markeet that is still under research.,4,histogram,3,5,54,4
12,Internet Service,4590253276921856,81TJQOTO,2015-03-03T07:03:29,Various aspects of computers and the internet and websites. ,4,histogram,4,20,16,5
13,Police officer killed,4590633381527552,1A9E6DAS,2015-03-05T19:33:22,A possible killing of a police officer and the man charged with the crime.,4,wordcloud,4,20,42,1
47,Taxes,4590863967584256,CFDWBOIH,2015-03-05T17:30:23,Federal taxes are used to fund the USA government.,4,wordcloud,4,10,104,3
43,death,4591155488489472,9KJP0Q18,2015-03-06T15:32:09,dead and living,4,topic-in-a-box,2,20,78,4
5,hotels restaurants bars,4591779332489216,7QW96N2L,2015-03-04T16:34:41,These hotels in these cities have restaurants that also have bars,4,histogram,5,5,122,5
35,executive company,4592117561163776,EDVAT7UU,2015-03-03T07:00:02,The chief executive of a company.,4,wordcloud,4,5,26,2
16,agine,4592959911624704,K6GGSQJ2,2015-03-04T04:34:36,"As a person ages, it is necessary to reach out to family.",4,word,4,10,38,2
38,tennis match,4593990703775744,4ONCDX8J,2015-03-05T16:01:04,something regarding a tennis match with one of the williams' sisters ,4,wordcloud,3,20,59,2
3,Religion,4594784735854592,9HKADCYE,2015-03-04T17:59:58,Many reigions gather at a church.,4,wordcloud,2,5,137,5
40,Sports,4595593263448064,42SQBWT9,2015-03-05T15:36:21,Nba teams and games.,4,wordcloud,4,10,197,3
4,NYC lifestyle,4596227844866048,NZPDJ9KZ,2015-03-03T08:22:40,There's a lot to do in NYC neighborhoods at night. ,4,histogram,2,20,64,4
28,iran's nuclear program,4596852494172160,4QLNUSD7,2015-03-05T16:00:55,"This is concerning Iran's want of a nuclear program, and the world's reaction to it.",4,histogram,4,20,101,3
48,sports,4598707920044032,UOBH1LIM,2015-03-03T23:28:04,The concept is to describe sports events dealing with players and contracts.,4,word,4,20,35,3
1,uses of bowls,4600337860132864,MWVNVOAK,2015-03-03T03:58:27,Bowls can be used in many different ways by many animals and humans.,4,topic-in-a-box,3,20,69,3
22,Traditional Family is Gone,4600633139134464,ZXX9UN5B,2015-03-05T16:50:02,Not all families have a mother and father anymore.,4,histogram,4,20,25,1
1,Obama,4601129207857152,N6ZYJC08,2015-03-06T12:13:51,President Obama's health care initive has caused much public debate.,4,histogram,5,20,50,2
41,Terrorist executions ,4602144430751744,3GJVJVNL,2015-03-04T06:12:40,The government's response to the terrorist group executions. ,4,word,4,10,217,4
31,Restaurants,4603587539763200,MYR394F4,2015-03-05T15:28:09,The concept is restaurant reviews and recommendations.,4,histogram,4,10,56,2
49,International affairs,4605577720233984,PFD8TZJV,2015-03-06T02:00:53,Discussed transportation with foreign affairs,4,histogram,2,20,18,5
5,hotel city restaurant ,4607298391506944,KMO5XJN8,2015-03-05T16:35:28,a travel guide for out of town visitors  ,4,word,3,5,52,4
18,Minor league coaches ,4608467159482368,80YFMIS0,2015-03-05T15:40:41,A minor league coach moved from California teams to Chicago.,4,wordcloud,4,20,141,3
45,car sale ,4608653990559744,ZDGCTDRI,2015-03-05T18:10:27,a place to buy cars,4,wordcloud,4,10,13,3
18,Major League Roster.,4610526059429888,JWB4HWGZ,2015-03-03T13:30:26,It looks like a MLB roster for the Los Angeles and San Francisco teams.,4,histogram,4,20,70,1
31,eating out,4610552097669120,TMJGH57G,2015-03-03T06:59:30,Finding places to eat,4,word,4,5,24,5
36,City,4612376921899008,7LC902HF,2015-03-03T05:09:32,Urban Landscape. This describes the various structures found in a city.,4,word,5,5,39,5
14,medical research,4616300106088448,GP0C6W57,2015-03-03T04:44:46,The doctors were pleased that the medical research had such a positive outcome.,4,wordcloud,3,5,148,1
0,Nutrition,4618058626760704,YBTJF7IC,2015-03-06T12:53:49,This article deals with healthy eating and nutrition,4,histogram,3,10,13,4
43,People,4619736616796160,4RDM8YJJ,2015-03-03T06:22:15,"Different types of people: women, children, men.",4,word,4,5,23,3
29,advertising marketing stores,4620283688255488,Y6Y9NM4B,2015-03-03T12:23:18,It is about how stores use advertising and marketing.,4,histogram,3,10,46,3
17,Work,4622337487929344,UWIICJKG,2015-03-05T18:40:45,Worked many years at a job. ,4,topic-in-a-box,4,5,41,5
27,The Music Industry,4623169906278400,E0W6UNPD,2015-03-05T15:50:34,How the music industry is going in a new direction.,4,topic-in-a-box,2,5,20,2
15,Oscars,4626048339673088,5P3JFI9A,2015-03-06T00:12:00,The results from the Oscars,4,histogram,3,5,35,1
7,estates,4626246176604160,PTT44CO3,2015-03-05T15:15:45,there are a number of houses on estates sales.,4,wordcloud,3,5,25,4
28,US nuclear policy,4626555951120384,F0UTO7VZ,2015-03-03T12:31:24,The article is about the United States world policy on nuclear power.,4,word,4,5,83,1
49,china vacation,4628522509271040,NXAPM4RC,2015-03-03T08:19:59,Things to do with travel to China.,4,wordcloud,4,20,38,3
10,airport security,4629175075864576,QELMY38C,2015-03-05T21:17:57,This would seem to be about airport security when travelling.,4,wordcloud,4,5,30,5
22,interview,4629734226919424,TXAORT0R,2015-03-03T03:10:31, What did Libby say in the interview?,4,topic-in-a-box,4,20,145,4
16,Retirement,4630213652643840,TGJUXDFS,2015-03-03T08:40:51,Work a long time to retire. ,4,wordcloud,3,10,23,3
27,music,4630394309705728,X0LVROEL,2015-03-05T15:00:53,Discussing different forms of music.,4,topic-in-a-box,3,20,20,2
47,Tax Rates ,4630777635536896,DBVLCM6C,2015-03-05T18:52:53,The governments implementation of tax rates. ,4,wordcloud,5,5,29,2
5,Events,4631752056242176,Y3KXIM0U,2015-03-05T16:59:04,An article about the events happening in a town. ,4,word,3,20,20,1
28,foreign relations,4632008680538112,S0YOA6G4,2015-03-03T07:12:50,"it mentions the US and foreign countries such as iran, europe it also mentions international and world and links those to the US through words lime economy and trade",4,word,5,20,116,1
2,Televesion,4632036866260992,9FLM118S,2015-03-05T22:12:42,These are all aspects of television. ,4,histogram,4,10,25,4
0,Operation Iraqi Freedom,4632633061408768,YJ8XHHZ0,2015-03-05T17:06:09,Shows the progression of the war in Iraq.,4,topic-in-a-box,4,10,84,3
37,Politics,4632893712236544,52Y4FQBN,2015-03-03T06:37:41,The article is describing the difference in politics.,4,word,4,20,35,4
25,school,4633882628456448,2SGV802I,2015-03-03T06:57:57,the school system,4,word,3,20,15,2
5,Nightlife,4634329036619776,01ULMW4M,2015-03-04T22:19:56,An elaboration on good places to go out for the night,4,word,4,10,38,2
3,RELIGION,4635522232221696,YCJWZ3NA,2015-03-04T02:26:32,THE CONCEPT OF DIFFERENT RELIGIONS AND HOW THEY ARE PRACTICED,4,word,3,20,37,2
29,Politics,4635817511223296,IOD6RTAL,2015-03-06T04:17:29,The U.S deals with other countries more than Europe does,4,topic-in-a-box,3,20,101,3
42,Tragic Accident,4637035671322624,ANCV08H5,2015-03-05T18:59:12,A tragic accident happened to a family and 2 people died and 1 survived.,4,histogram,3,20,118,4
40,Global Fuels,4637886074847232,LACRS15S,2015-03-05T16:30:14,Need to created more environmental power,4,topic-in-a-box,3,10,45,3
30,Middle Eastern affairs,4639302877184000,GD3JVK0U,2015-03-05T21:10:53,These words represent articles that talk about our affairs in the Middle East.,4,wordcloud,5,10,39,2
8,Economical ,4639734521397248,YRQIYDAE,2015-03-05T17:23:13,This concept is of economical marketing and sales terms. ,4,word,4,5,25,1
45,Michigan,4641074551193600,GP7A05I1,2015-03-05T15:12:18,The Michigan based Auto company.,4,word,5,5,39,3
45,Work,4642482763595776,PLVEC1VC,2015-03-06T00:43:17,work,4,topic-in-a-box,1,5,15,1
3,Religion,4643220424228864,Z5OGKEL3,2015-03-05T17:08:39,Something regarding the interplay between jews and christians.,4,histogram,4,10,21,2
39,sports team,4643651531571200,838TLL03,2015-03-05T20:15:21,These are all words associated with a sports team playing.,4,topic-in-a-box,4,20,22,5
17,Employment rate,4643838362648576,R7IY0SC3,2015-03-06T12:55:28,This concept is about employment rate,4,topic-in-a-box,3,20,16,1
25,Education,4646518959112192,R1190JTP,2015-03-05T20:31:12,Concept is about education at all levels.,4,histogram,4,20,33,4
32,Restaurant reviews,4647671620960256,DOBPQPOE,2015-03-05T17:42:23,Restaurant reviews give people an idea what the dining experience will be like at a certain place.,4,topic-in-a-box,4,10,87,4
25,College,4647978174251008,0Y4Z7X8M,2015-03-03T11:18:32,This is an article about college.,4,word,4,5,60,2
18,california sports contracts,4650229810855936,R7F8NL9U,2015-03-06T13:22:40,the contracts of the coaches for teams in california,4,histogram,3,10,35,5
25,"Education, School, College",4651080214380544,C1VDG6IC,2015-03-05T18:19:48,Things having to do with receiving an education,4,wordcloud,4,20,50,3
10,Airport Travel,4651966051385344,6GLJACV6,2015-03-06T03:33:00,Arriving at the airport we can expect to see international travelers. ,4,wordcloud,5,10,87,2
4,Street signs.,4652900475207680,CW1K8GI6,2015-03-03T06:12:59,Signs that represent a certain street.,4,wordcloud,4,5,20,3
24,Super Bowl,4652928660930560,JUA4S4L0,2015-03-06T03:48:30,A super bowl game is going to be this week.,4,wordcloud,3,10,24,2
13,officer-involved shootings,4653168105357312,GD3JVK0U,2015-03-05T21:10:53,These words are from articles discussing incidents where police have killed someone or someone has killed a cop.,4,wordcloud,3,10,53,2
46,University Event,4653242998849536,11K1JX0W,2015-03-05T16:39:56,I think these words are used to describe an event happening on campus.,4,histogram,3,5,45,4
19,Book Review,4656122505986048,APZSH3RA,2015-03-03T13:25:11,This is a book review written by an author in English.,4,histogram,4,20,19,1
27,known designer pieces,4656173508722688,XZ3NPR16,2015-03-03T09:52:40,This seems like a museum of fashion.,4,word,3,20,78,1
45,Ford company,4656601931710464,E8Y0HAI1,2015-03-04T05:32:06,Article is about Gerald Ford and the Ford car company.,4,word,4,5,62,2
31,A restaurant review.,4656782588772352,XZ5JAPDT,2015-03-05T17:51:17,A restaurant is reviewed.,4,wordcloud,4,20,21,3
7,real estate ad,4657521860018176,QEXRWRLI,2015-03-05T14:57:34,This is probably an ad for real estate services.,4,word,5,5,16,2
26,Continuing education,4657823313035264,A5PPZMO4,2015-03-03T09:30:22,Education is important to continue past high school.,4,topic-in-a-box,3,10,99,1
1,health and dieting,4658140335308800,XMAOHOQ7,2015-03-05T21:18:32,These words are from articles discussing the health of humans and/or animals.,4,topic-in-a-box,3,10,41,4
48,New york yankees,4658396959604736,E7PRLACN,2015-03-04T04:44:18,team of new york,4,word,4,10,13,5
20,New Jersey,4659021340475392,MLF5U093,2015-03-05T20:39:07,Politics in New Jersey,4,histogram,2,10,42,2
49,train for hong kong,4659668806795264,AMMLSN2V,2015-03-05T16:32:18,"Hope on the train in Hong Kong and ride it into China, but watch out for those shady chinese people trying to harvest your organs.",4,histogram,5,5,59,5
45,Automobiles.,4660270907523072,Y650265M,2015-03-04T04:18:44,This concept is about vehicles.,4,word,5,10,18,2
42,An Obituary,4661002125705216,KULYXEK5,2015-03-05T18:08:19,The obituary of someone.,4,histogram,5,10,22,5
27,bands make music,4661232711761920,ZUYVPHVV,2015-03-05T16:43:40,Bands often release new music and songs on albums,4,topic-in-a-box,5,5,33,2
10,Travel,4661524232667136,0XRWPXQH,2015-03-05T20:59:45,A description of the latest travel news.,4,wordcloud,4,5,10,1
36,New park planned,4663328655802368,4HCDF5ML,2015-03-04T01:41:09,Building is underwant for a new city park that will be near center street near many busy downtown offices buildings.,4,word,3,5,88,5
6,Politics,4664541178757120,U0OR47XR,2015-03-05T16:46:49,Information on the president and foreign policy.,4,histogram,4,10,17,4
3,Religion,4665338700496896,1TGG693Z,2015-03-05T03:47:19,Religion and the people involved.,4,wordcloud,3,10,29,2
20,New York,4665962007625728,8RGBO7K4,2015-03-05T13:08:49,The idea seems to be local government of the New York City area..,4,wordcloud,4,10,48,3
28,Nuclear power,4667221238349824,DSEU7SUD,2015-03-05T15:16:11,Nuclear power is generated by uranium fission.,4,wordcloud,3,5,22,5
40,preservation,4668864331776000,4RGF5TVJ,2015-03-04T18:15:34,preserving energy and oil,4,topic-in-a-box,4,5,38,2
16,economics,4669076664221696,IXFKH6HO,2015-03-03T13:27:49,Peoples income over the years,4,histogram,4,20,19,3
16,retirement,4669513408708608,TMJGH57G,2015-03-03T06:59:30,Planning for retirement,4,word,3,5,19,5
40,Sports,4669672859369472,SF20WZHV,2015-03-03T07:28:17,The outcome of a basketball game.,4,histogram,3,5,28,5
29,False advertising,4671001883312128,3O0GFYII,2015-03-05T16:15:38,Article describing a false and misleading advertisement,4,histogram,4,20,34,5
